B02001,Race,,,,,,,,,,,,,
,"Census Tract 1501, Baltimore, MD","Census Tract 1502, Baltimore, MD","Census Tract 1503, Baltimore, MD","Census Tract 1602, Baltimore, MD","Census Tract 1603, Baltimore, MD","Census Tract 1604, Baltimore, MD","Census Tract 1605, Baltimore, MD","Census Tract 1902, Baltimore, MD","Census Tract 1903, Baltimore, MD","Census Tract 2001, Baltimore, MD","Census Tract 2002, Baltimore, MD","Census Tract 2003, Baltimore, MD","Census Tract 2004, Baltimore, MD","Census Tract 2005, Baltimore, MD"
White alone,113,0,22,50,67,18,0,522,562,13,93,318,72,400
Black or African American alone,2047,2376,1261,2063,1549,1459,2810,776,1437,1371,1580,605,1051,1304
American Indian and Alaska Native alone,0,9,0,0,0,14,0,0,0,0,0,0,0,11
Asian alone,0,0,0,0,51,13,44,21,8,0,0,19,9,0
Native Hawaiian and Other Pacific Islander alone,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Some Other Race alone,0,8,0,0,0,18,0,22,56,38,77,0,0,261
Two or More Races:,39,0,1,14,28,44,31,480,59,15,77,83,56,26
Two races including Some Other Race,0,0,0,0,0,0,0,121,3,0,13,0,35,0
"Two races excluding Some Other Race, and three or more races",39,0,1,14,28,44,31,359,56,15,64,83,21,26
